dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
UCI-iris,single,euclidean,0.02,label,class_2,gen_base_2,0.8308716707021792,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,High,base,0.8094758064516129,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,High,clusters,0.803030303030303,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,High,gen_base_1,0.8229166666666667,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,High,gen_base_2,0.8674999999999999,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,Low,base,0.9655172413793104,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,Low,clusters,0.6917684305744007,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,Low,gen_base_1,0.8888888888888888,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,Low,gen_base_2,0.9068278805120911,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,base,0.8709677419354839,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_1,0.896551724137931,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_2,0.9649122807017544,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedLow,base,0.838235294117647,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedLow,clusters,0.8972602739726028,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedLow,gen_base_1,0.8245102611940298,5
UCI-iris,single,euclidean,0.02,sepal length (cm)_quantiles,MedLow,gen_base_2,0.9416027280477408,5
UCI-iris,ward,euclidean,0.0,label,class_0,base,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_0,clusters,0.9705882352941176,5
UCI-iris,ward,euclidean,0.0,label,class_0,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_0,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_1,base,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_1,clusters,0.9323835368611488,5
UCI-iris,ward,euclidean,0.0,label,class_1,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_1,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_2,base,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_2,clusters,0.9850746268656716,5
UCI-iris,ward,euclidean,0.0,label,class_2,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,label,class_2,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,High,base,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,High,clusters,0.9696969696969697,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,High,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,High,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,Low,clusters,0.7164179104477612,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,Low,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,Low,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,base,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedLow,base,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedLow,clusters,0.8173572459286745,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedLow,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.0,sepal length (cm)_quantiles,MedLow,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.02,label,class_0,base,1.0,5
UCI-iris,ward,euclidean,0.02,label,class_0,clusters,0.9705882352941176,5
UCI-iris,ward,euclidean,0.02,label,class_0,gen_base_1,1.0,5
UCI-iris,ward,euclidean,0.02,label,class_0,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.02,label,class_1,base,1.0,5
UCI-iris,ward,euclidean,0.02,label,class_1,clusters,0.9850746268656716,5
UCI-iris,ward,euclidean,0.02,label,class_1,gen_base_1,0.9148936170212766,5
UCI-iris,ward,euclidean,0.02,label,class_1,gen_base_2,0.9387755102040817,5
UCI-iris,ward,euclidean,0.02,label,class_2,base,0.9743589743589743,5
UCI-iris,ward,euclidean,0.02,label,class_2,clusters,0.9850746268656716,5
UCI-iris,ward,euclidean,0.02,label,class_2,gen_base_1,0.8230434782608695,5
UCI-iris,ward,euclidean,0.02,label,class_2,gen_base_2,0.9127073906485671,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,High,base,0.8225806451612903,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,High,clusters,0.803030303030303,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,High,gen_base_1,0.7116883116883117,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,High,gen_base_2,0.8484413453650533,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,Low,clusters,0.6917684305744007,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,Low,gen_base_1,0.9230769230769231,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,Low,gen_base_2,1.0,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,base,0.8117647058823529,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_1,0.8808080808080807,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_2,0.8793103448275862,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedLow,base,0.795045045045045,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedLow,clusters,0.8972602739726028,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedLow,gen_base_1,0.8345771144278606,5
UCI-iris,ward,euclidean,0.02,sepal length (cm)_quantiles,MedLow,gen_base_2,0.8712973593570608,5
